collision_index,collision_year,location_easting_osgr,location_northing_osgr,collision_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_highway_current,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,collision_injury_based,hour_of_day,month,is_weekend,time_period,multi_vehicle
2.02E+12,2020,0.0,1.0,3,0.5,1,1,E08000019,4,6088,6,30,0,4,0,-1,0.0,4,1,2,0,0,1,1,2.0,1,15,12,1,1,0
201514K039415,2015,1.0,1.0,3,0.5,1,7,E08000019,3,57,3,40,13,2,3,61,0.0,1,1,1,0,0,1,1,2.0,0,11,2,1,0,0
201514K319315,2015,1.0,1.0,3,0.5,1,5,E08000019,4,6200,6,30,16,4,6,0,14.0,4,1,2,0,0,1,1,2.0,0,18,11,0,2,0
201514K244615,2015,1.0,1.0,3,0.5,1,2,E08000019,6,0,6,30,16,2,6,0,0.0,1,1,1,0,0,1,2,2.0,0,7,9,0,0,0
201514K227715,2015,0.9710954063604191,0.6323467230444066,3,0.5,1,3,E08000019,3,621,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,18,6,0,2,0
201514K102515,2015,1.0,1.0,3,0.5,1,2,E08000019,4,6063,6,30,13,4,4,6388,0.0,1,2,2,0,0,1,1,2.0,0,17,3,0,2,0
201514K244915,2015,1.0,1.0,3,0.5,1,6,E08000019,3,625,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,2,2.0,0,18,9,0,2,0
201514K169615,2015,1.0,1.0,3,0.5,1,3,E08000019,3,57,1,30,0,4,4,6064,0.0,1,1,1,0,0,2,1,2.0,0,16,7,0,1,0
201514K126115,2015,1.0,1.0,3,0.5,1,4,E08000019,6,0,1,40,0,4,6,0,0.0,1,1,2,0,0,1,1,2.0,0,20,5,0,2,0
201514K091015,2015,1.0,1.0,2,0.5,1,6,E08000019,4,6069,6,30,16,2,6,0,0.0,1,1,1,0,0,1,2,2.0,0,8,4,0,0,0
201514K066115,2015,1.0,0.6363636363636402,3,0.5,1,3,E08000019,3,61,1,30,0,4,4,5054,0.0,4,1,2,0,0,2,1,2.0,0,18,3,0,2,0
201514K307815,2015,1.0,1.0,3,0.5,1,5,E08000019,6,0,6,30,13,4,6,0,0.0,4,2,2,0,0,1,1,2.0,0,17,12,0,2,0
201514K110915,2015,1.0,1.0,3,0.5,1,6,E08000019,6,0,2,20,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,9,5,0,0,0
201514K328115,2015,1.0,1.0,3,0.5,1,7,E08000019,5,0,6,30,0,4,0,-1,0.0,4,8,2,0,0,1,1,2.0,0,3,12,1,3,0
201514K061315,2015,1.0,1.0,3,0.5,1,7,E08000019,5,0,6,30,0,4,0,-1,0.0,1,1,1,4,13,1,1,2.0,0,11,3,1,0,0
201514K205015,2015,1.0,1.0,2,0.5,1,4,E08000019,5,0,6,30,18,4,6,0,0.0,1,9,1,0,0,1,1,2.0,0,18,5,0,2,0
201514K212415,2015,1.0,1.0,3,0.5,1,3,E08000019,4,6070,6,30,13,4,6,0,0.0,1,9,1,0,0,1,1,2.0,0,16,9,0,1,0
201514K085715,2015,1.0,1.0,3,0.5,1,7,E08000019,6,0,2,30,0,4,0,-1,0.0,1,1,1,0,0,1,2,2.0,0,12,4,1,1,0
201514K337515,2015,1.0,1.0,3,0.5,1,6,E08000019,6,0,6,30,13,4,6,0,0.0,4,2,2,0,0,1,1,2.0,0,16,12,0,1,0
201514K325315,2015,1.0,1.0,2,0.5,1,6,E08000019,6,0,6,30,13,4,6,0,0.0,1,1,1,5,21,1,1,2.0,0,12,12,0,1,0
201514K299015,2015,0.9914487632508866,1.0,3,0.5,1,3,E08000019,6,0,6,30,13,4,6,0,0.0,1,9,1,0,0,1,2,2.0,0,15,11,0,1,0
201514K270115,2015,0.6279151943462864,0.9076109936575136,3,0.5,1,7,E08000019,6,0,6,30,0,4,0,-1,0.0,1,1,2,0,0,2,2,2.0,0,13,10,1,1,0
201514K300515,2015,1.0,1.0,3,0.5,1,4,E08000019,6,0,6,30,16,4,6,0,0.0,4,5,2,0,0,1,1,2.0,0,21,11,0,3,0
201514K130815,2015,1.0,1.0,3,0.5,1,6,E08000019,3,6102,3,30,13,4,4,6200,0.0,1,1,1,0,0,1,2,2.0,0,16,5,0,1,0
201514K195715,2015,1.0,1.0,3,0.5,1,6,E08000019,5,0,6,30,18,4,6,0,0.0,1,9,1,0,0,1,2,2.0,0,19,6,0,2,0
201514K133715,2015,1.0,1.0,3,0.5,1,2,E08000019,3,57,3,50,0,4,0,-1,0.0,1,1,1,0,0,1,2,2.0,0,7,5,0,0,0
201514K341515,2015,1.0,1.0,3,0.5,1,6,E08000019,4,6200,3,30,13,2,6,0,14.0,4,2,2,0,0,1,2,2.0,0,17,12,0,2,0
201514K000915,2015,1.0,0.4904862579281257,3,0.5,1,2,E08000019,6,0,3,30,13,4,6,0,0.0,1,1,1,0,0,2,1,2.0,0,9,1,0,0,0
201514K274615,2015,1.0,1.0,3,0.5,1,3,E08000019,4,6388,6,30,13,4,4,6388,0.0,4,1,1,0,0,1,1,2.0,0,18,11,0,2,0
201514K313015,2015,1.0,1.0,3,0.5,1,4,E08000019,6,0,6,30,13,4,6,0,14.0,1,1,1,0,0,1,1,2.0,0,8,12,0,0,0
